Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Regular season,24,2017-03-04,Nieciecza,Ruch Chorzów,0,0,0.5
2016-2017,Regular season,24,2017-03-04,Piast Gliwice,Wisła Kraków,1,2,0.0
2016-2017,Regular season,24,2017-03-05,Jagiellonia,Śląsk Wrocław,4,1,1.0
2016-2017,Regular season,24,2017-03-05,Lech Poznań,Lechia Gdańsk,1,0,1.0
2016-2017,Regular season,24,2017-03-06,Pogoń Szczecin,Wisła Płock,1,1,0.5
2016-2017,Regular season,21,2017-03-07,Górnik Łęczna,Zagłębie Lubin,0,1,0.0
2016-2017,Regular season,25,2017-03-10,Śląsk Wrocław,Piast Gliwice,3,4,0.0
2016-2017,Regular season,25,2017-03-10,Arka Gdynia,Lech Poznań,1,4,0.0
2016-2017,Regular season,25,2017-03-11,Wisła Płock,Nieciecza,1,0,1.0
2016-2017,Regular season,25,2017-03-11,Ruch Chorzów,Lechia Gdańsk,2,1,1.0
2016-2017,Regular season,25,2017-03-11,Jagiellonia,Korona Kielce,4,1,1.0
2016-2017,Regular season,25,2017-03-12,Górnik Łęczna,Pogoń Szczecin,2,2,0.5
2016-2017,Regular season,25,2017-03-12,Legia Warsaw,Wisła Kraków,1,0,1.0
2016-2017,Regular season,25,2017-03-13,Cracovia,Zagłębie Lubin,1,1,0.5
2016-2017,Regular season,26,2017-03-17,Nieciecza,Śląsk Wrocław,1,2,0.0
2016-2017,Regular season,26,2017-03-17,Wisła Kraków,Wisła Płock,3,2,1.0
2016-2017,Regular season,26,2017-03-18,Piast Gliwice,Arka Gdynia,3,2,1.0
2016-2017,Regular season,26,2017-03-18,Zagłębie Lubin,Ruch Chorzów,0,1,0.0
2016-2017,Regular season,26,2017-03-18,Pogoń Szczecin,Jagiellonia,0,0,0.5
2016-2017,Regular season,26,2017-03-19,Korona Kielce,Cracovia,3,0,1.0
2016-2017,Regular season,26,2017-03-19,Lech Poznań,Górnik Łęczna,0,0,0.5
2016-2017,Regular season,26,2017-03-19,Lechia Gdańsk,Legia Warsaw,1,2,0.0
2016-2017,Regular season,27,2017-03-31,Śląsk Wrocław,Korona Kielce,3,0,1.0
2016-2017,Regular season,27,2017-03-31,Wisła Kraków,Lech Poznań,0,0,0.5
2016-2017,Regular season,27,2017-04-01,Arka Gdynia,Górnik Łęczna,2,4,0.0
2016-2017,Regular season,27,2017-04-01,Wisła Płock,Cracovia,4,1,1.0
2016-2017,Regular season,27,2017-04-01,Legia Warsaw,Pogoń Szczecin,2,0,1.0
2016-2017,Regular season,27,2017-04-02,Jagiellonia,Nieciecza,1,0,1.0
2016-2017,Regular season,27,2017-04-02,Lechia Gdańsk,Zagłębie Lubin,1,0,1.0
2016-2017,Regular season,27,2017-04-03,Ruch Chorzów,Piast Gliwice,0,0,0.5
2016-2017,Regular season,28,2017-04-07,Cracovia,Śląsk Wrocław,1,0,1.0
2016-2017,Regular season,28,2017-04-07,Zagłębie Lubin,Jagiellonia,3,4,0.0
2016-2017,Regular season,28,2017-04-08,Górnik Łęczna,Wisła Płock,2,3,0.0
2016-2017,Regular season,28,2017-04-08,Pogoń Szczecin,Arka Gdynia,5,1,1.0
2016-2017,Regular season,28,2017-04-08,Nieciecza,Wisła Kraków,2,3,0.0
2016-2017,Regular season,28,2017-04-09,Piast Gliwice,Lechia Gdańsk,1,1,0.5
2016-2017,Regular season,28,2017-04-09,Lech Poznań,Legia Warsaw,1,2,0.0
2016-2017,Regular season,28,2017-04-10,Korona Kielce,Ruch Chorzów,1,0,1.0
2016-2017,Regular season,29,2017-04-15,Ruch Chorzów,Pogoń Szczecin,1,2,0.0
2016-2017,Regular season,29,2017-04-15,Śląsk Wrocław,Górnik Łęczna,2,2,0.5
2016-2017,Regular season,29,2017-04-15,Jagiellonia,Cracovia,0,0,0.5
2016-2017,Regular season,29,2017-04-15,Wisła Płock,Lech Poznań,0,3,0.0
2016-2017,Regular season,29,2017-04-17,Legia Warsaw,Korona Kielce,0,0,0.5
2016-2017,Regular season,29,2017-04-17,Nieciecza,Piast Gliwice,1,0,1.0
2016-2017,Regular season,29,2017-04-17,Wisła Kraków,Zagłębie Lubin,1,0,1.0
2016-2017,Regular season,29,2017-04-17,Lechia Gdańsk,Arka Gdynia,2,1,1.0
2016-2017,Regular season,30,2017-04-22,Piast Gliwice,Jagiellonia,0,1,0.0
2016-2017,Regular season,30,2017-04-22,Pogoń Szczecin,Lechia Gdańsk,3,1,1.0
2016-2017,Regular season,30,2017-04-22,Lech Poznań,Ruch Chorzów,3,0,1.0
2016-2017,Regular season,30,2017-04-22,Cracovia,Legia Warsaw,1,2,0.0
2016-2017,Regular season,30,2017-04-22,Korona Kielce,Nieciecza,0,1,0.0
2016-2017,Regular season,30,2017-04-22,Górnik Łęczna,Wisła Kraków,3,1,1.0
2016-2017,Regular season,30,2017-04-22,Zagłębie Lubin,Śląsk Wrocław,1,1,0.5
2016-2017,Regular season,30,2017-04-22,Arka Gdynia,Wisła Płock,1,1,0.5
2016-2017,Relegation round,1,2017-04-28,Arka Gdynia,Piast Gliwice,1,1,0.5
2016-2017,Championship round,1,2017-04-28,Lech Poznań,Korona Kielce,3,2,1.0
2016-2017,Relegation round,1,2017-04-29,Wisła Płock,Ruch Chorzów,1,1,0.5
2016-2017,Relegation round,1,2017-04-29,Śląsk Wrocław,Górnik Łęczna,0,2,0.0
2016-2017,Championship round,1,2017-04-29,Lechia Gdańsk,Nieciecza,2,0,1.0
2016-2017,Championship round,1,2017-04-30,Jagiellonia,Pogoń Szczecin,1,0,1.0
2016-2017,Championship round,1,2017-04-30,Legia Warsaw,Wisła Kraków,1,1,0.5
2016-2017,Relegation round,1,2017-05-01,Zagłębie Lubin,Cracovia,2,2,0.5
2016-2017,Relegation round,2,2017-05-05,Ruch Chorzów,Zagłębie Lubin,1,1,0.5
2016-2017,Championship round,2,2017-05-05,Korona Kielce,Jagiellonia,1,1,0.5
2016-2017,Relegation round,2,2017-05-06,Piast Gliwice,Śląsk Wrocław,2,0,1.0
2016-2017,Relegation round,2,2017-05-06,Górnik Łęczna,Wisła Płock,2,3,0.0
2016-2017,Championship round,2,2017-05-06,Wisła Kraków,Lechia Gdańsk,0,1,0.0
2016-2017,Championship round,2,2017-05-07,Nieciecza,Lech Poznań,0,3,0.0
2016-2017,Championship round,2,2017-05-07,Pogoń Szczecin,Legia Warsaw,0,2,0.0
2016-2017,Relegation round,2,2017-05-08,Cracovia,Arka Gdynia,2,0,1.0
2016-2017,Relegation round,3,2017-05-12,Zagłębie Lubin,Piast Gliwice,3,1,1.0
2016-2017,Relegation round,3,2017-05-12,Arka Gdynia,Górnik Łęczna,1,0,1.0
2016-2017,Championship round,3,2017-05-13,Jagiellonia,Wisła Kraków,2,0,1.0
2016-2017,Relegation round,3,2017-05-13,Śląsk Wrocław,Ruch Chorzów,6,0,1.0
2016-2017,Relegation round,3,2017-05-13,Wisła Płock,Cracovia,1,1,0.5
2016-2017,Championship round,3,2017-05-14,Lech Poznań,Pogoń Szczecin,2,0,1.0
2016-2017,Championship round,3,2017-05-14,Lechia Gdańsk,Korona Kielce,0,0,0.5
2016-2017,Championship round,3,2017-05-14,Legia Warsaw,Nieciecza,6,0,1.0
2016-2017,Relegation round,4,2017-05-16,Górnik Łęczna,Cracovia,3,0,1.0
2016-2017,Relegation round,4,2017-05-16,Arka Gdynia,Wisła Płock,0,1,0.0
2016-2017,Relegation round,4,2017-05-16,Zagłębie Lubin,Śląsk Wrocław,2,0,1.0
2016-2017,Relegation round,4,2017-05-16,Ruch Chorzów,Piast Gliwice,0,3,0.0
2016-2017,Championship round,4,2017-05-17,Korona Kielce,Wisła Kraków,3,2,1.0
2016-2017,Championship round,4,2017-05-17,Lechia Gdańsk,Jagiellonia,4,0,1.0
2016-2017,Championship round,4,2017-05-17,Legia Warsaw,Lech Poznań,2,0,1.0
2016-2017,Championship round,4,2017-05-17,Pogoń Szczecin,Nieciecza,1,1,0.5
2016-2017,Relegation round,5,2017-05-19,Śląsk Wrocław,Arka Gdynia,4,1,1.0
2016-2017,Relegation round,5,2017-05-19,Cracovia,Ruch Chorzów,2,0,1.0
