Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2021-2022,Championship round,1,2022-03-13,PAOK,PAS Giannina,1,0,1.0
2021-2022,Relegation round,1,2022-03-19,OFI Crete,Ionikos,2,3,0.0
2021-2022,Relegation round,1,2022-03-19,Atromitos,Apollon Smyrnis,1,0,1.0
2021-2022,Relegation round,1,2022-03-19,Volos NFC,Asteras Tripoli,0,2,0.0
2021-2022,Relegation round,1,2022-03-19,Panetolikos,PAS Lamia,1,2,0.0
2021-2022,Championship round,2,2022-03-20,PAS Giannina,Olympiacos,1,1,0.5
2021-2022,Championship round,2,2022-03-20,Aris,Panathinaikos,0,0,0.5
2021-2022,Championship round,2,2022-03-20,AEK Athens,PAOK,0,1,0.0
2021-2022,Relegation round,2,2022-04-02,PAS Lamia,OFI Crete,1,2,0.0
2021-2022,Relegation round,2,2022-04-02,Asteras Tripoli,Atromitos,0,0,0.5
2021-2022,Relegation round,2,2022-04-02,Ionikos,Volos NFC,2,2,0.5
2021-2022,Relegation round,2,2022-04-02,Apollon Smyrnis,Panetolikos,1,0,1.0
2021-2022,Championship round,3,2022-04-03,Aris,PAS Giannina,0,0,0.5
2021-2022,Championship round,3,2022-04-03,Panathinaikos,PAOK,2,1,1.0
2021-2022,Championship round,3,2022-04-03,Olympiacos,AEK Athens,1,1,0.5
2021-2022,Relegation round,3,2022-04-09,Volos NFC,PAS Lamia,3,0,1.0
2021-2022,Relegation round,3,2022-04-09,OFI Crete,Apollon Smyrnis,1,2,0.0
2021-2022,Relegation round,3,2022-04-09,Asteras Tripoli,Ionikos,2,3,0.0
2021-2022,Relegation round,3,2022-04-09,Panetolikos,Atromitos,2,3,0.0
2021-2022,Championship round,4,2022-04-10,PAS Giannina,Panathinaikos,0,0,0.5
2021-2022,Championship round,4,2022-04-10,AEK Athens,Aris,1,2,0.0
2021-2022,Relegation round,4,2022-04-16,Apollon Smyrnis,Volos NFC,1,1,0.5
2021-2022,Relegation round,4,2022-04-16,Panetolikos,Asteras Tripoli,0,0,0.5
2021-2022,Relegation round,4,2022-04-17,Atromitos,OFI Crete,1,1,0.5
2021-2022,Relegation round,4,2022-04-17,PAS Lamia,Ionikos,0,1,0.0
2021-2022,Championship round,5,2022-04-17,Aris,PAOK,1,0,1.0
2021-2022,Championship round,5,2022-04-17,Panathinaikos,Olympiacos,1,0,1.0
2021-2022,Championship round,5,2022-04-18,PAS Giannina,AEK Athens,2,3,0.0
2021-2022,Relegation round,5,2022-04-30,OFI Crete,Panetolikos,0,1,0.0
2021-2022,Relegation round,5,2022-04-30,Volos NFC,Atromitos,1,1,0.5
2021-2022,Championship round,6,2022-05-01,Olympiacos,PAS Giannina,3,2,1.0
2021-2022,Championship round,6,2022-05-01,Panathinaikos,Aris,1,0,1.0
2021-2022,Championship round,6,2022-05-01,PAOK,AEK Athens,1,1,0.5
2021-2022,Relegation round,5,2022-05-02,Ionikos,Apollon Smyrnis,5,1,1.0
2021-2022,Relegation round,5,2022-05-02,Asteras Tripoli,PAS Lamia,0,2,0.0
2021-2022,Championship round,4,2022-05-04,PAOK,Olympiacos,1,2,0.0
2021-2022,Relegation round,6,2022-05-07,Atromitos,Ionikos,0,1,0.0
2021-2022,Relegation round,6,2022-05-07,Apollon Smyrnis,PAS Lamia,0,0,0.5
2021-2022,Relegation round,6,2022-05-07,Panetolikos,Volos NFC,0,0,0.5
2021-2022,Relegation round,6,2022-05-08,OFI Crete,Asteras Tripoli,1,0,1.0
2021-2022,Championship round,7,2022-05-08,PAS Giannina,PAOK,1,0,1.0
2021-2022,Championship round,7,2022-05-08,AEK Athens,Panathinaikos,0,0,0.5
2021-2022,Championship round,7,2022-05-08,Aris,Olympiacos,0,1,0.0
2021-2022,Championship round,8,2022-05-11,PAOK,Aris,0,1,0.0
2021-2022,Championship round,8,2022-05-11,AEK Athens,PAS Giannina,3,0,1.0
2021-2022,Championship round,8,2022-05-11,Olympiacos,Panathinaikos,1,2,0.0
2021-2022,Relegation round,7,2022-05-14,Volos NFC,OFI Crete,5,0,1.0
2021-2022,Championship round,9,2022-05-14,Panathinaikos,PAS Giannina,4,0,1.0
2021-2022,Championship round,9,2022-05-14,Aris,AEK Athens,3,2,1.0
2021-2022,Championship round,9,2022-05-14,Olympiacos,PAOK,1,1,0.5
2021-2022,Relegation round,7,2022-05-15,Ionikos,Panetolikos,3,1,1.0
2021-2022,Relegation round,7,2022-05-15,PAS Lamia,Atromitos,0,0,0.5
2021-2022,Relegation round,7,2022-05-15,Asteras Tripoli,Apollon Smyrnis,2,2,0.5
2021-2022,Championship round,10,2022-05-17,PAS Giannina,Aris,0,3,0.0
2021-2022,Championship round,10,2022-05-17,PAOK,Panathinaikos,2,0,1.0
2021-2022,Championship round,10,2022-05-17,AEK Athens,Olympiacos,2,3,0.0
2021-2022,Greek 1/2 Relegation/Promotion Playoffs,,2022-06-11,Veria,PAS Lamia,1,2,0.0
2021-2022,Greek 1/2 Relegation/Promotion Playoffs,,2022-06-18,PAS Lamia,Veria,1,1,0.5
