Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Ligue 1,21,2017-01-22,Lyon,Marseille,3,1,1.0
2016-2017,Ligue 1,22,2017-01-27,Marseille,Montpellier,5,1,1.0
2016-2017,Ligue 1,22,2017-01-28,Lyon,Lille,1,2,0.0
2016-2017,Ligue 1,22,2017-01-28,Lorient,Dijon,2,3,0.0
2016-2017,Ligue 1,22,2017-01-28,Rennes,Nantes,1,1,0.5
2016-2017,Ligue 1,22,2017-01-28,Angers,Metz,2,1,1.0
2016-2017,Ligue 1,22,2017-01-28,Bastia,Caen,1,1,0.5
2016-2017,Ligue 1,22,2017-01-28,Nancy,Bordeaux,0,2,0.0
2016-2017,Ligue 1,22,2017-01-29,Nice,Guingamp,3,1,1.0
2016-2017,Ligue 1,22,2017-01-29,Toulouse,Saint-Étienne,0,3,0.0
2016-2017,Ligue 1,22,2017-01-29,Paris S-G,Monaco,1,1,0.5
2016-2017,Ligue 1,23,2017-02-03,Metz,Marseille,1,0,1.0
2016-2017,Ligue 1,23,2017-02-04,Monaco,Nice,3,0,1.0
2016-2017,Ligue 1,23,2017-02-04,Montpellier,Bastia,2,1,1.0
2016-2017,Ligue 1,23,2017-02-04,Dijon,Paris S-G,1,3,0.0
2016-2017,Ligue 1,23,2017-02-04,Bordeaux,Rennes,1,1,0.5
2016-2017,Ligue 1,23,2017-02-04,Lille,Lorient,0,1,0.0
2016-2017,Ligue 1,23,2017-02-04,Guingamp,Caen,0,1,0.0
2016-2017,Ligue 1,23,2017-02-05,Toulouse,Angers,4,0,1.0
2016-2017,Ligue 1,23,2017-02-05,Nantes,Nancy,0,2,0.0
2016-2017,Ligue 1,23,2017-02-05,Saint-Étienne,Lyon,2,0,1.0
2016-2017,Ligue 1,24,2017-02-07,Montpellier,Monaco,1,2,0.0
2016-2017,Ligue 1,24,2017-02-07,Caen,Bordeaux,0,4,0.0
2016-2017,Ligue 1,24,2017-02-07,Paris S-G,Lille,2,1,1.0
2016-2017,Ligue 1,24,2017-02-08,Lyon,Nancy,4,0,1.0
2016-2017,Ligue 1,24,2017-02-08,Lorient,Toulouse,1,1,0.5
2016-2017,Ligue 1,24,2017-02-08,Angers,Rennes,0,0,0.5
2016-2017,Ligue 1,24,2017-02-08,Metz,Dijon,2,1,1.0
2016-2017,Ligue 1,24,2017-02-08,Nice,Saint-Étienne,1,0,1.0
2016-2017,Ligue 1,24,2017-02-08,Marseille,Guingamp,2,0,1.0
2016-2017,Ligue 1,25,2017-02-10,Bordeaux,Paris S-G,0,3,0.0
2016-2017,Ligue 1,25,2017-02-11,Guingamp,Lyon,2,1,1.0
2016-2017,Ligue 1,25,2017-02-11,Toulouse,Bastia,4,1,1.0
2016-2017,Ligue 1,25,2017-02-11,Dijon,Caen,2,0,1.0
2016-2017,Ligue 1,25,2017-02-11,Lille,Angers,1,2,0.0
2016-2017,Ligue 1,25,2017-02-11,Nancy,Montpellier,0,3,0.0
2016-2017,Ligue 1,25,2017-02-11,Monaco,Metz,5,0,1.0
2016-2017,Ligue 1,25,2017-02-12,Rennes,Nice,2,2,0.5
2016-2017,Ligue 1,25,2017-02-12,Saint-Étienne,Lorient,4,0,1.0
2016-2017,Ligue 1,25,2017-02-12,Nantes,Marseille,3,2,1.0
2016-2017,Ligue 1,26,2017-02-17,Bastia,Monaco,1,1,0.5
2016-2017,Ligue 1,26,2017-02-18,Marseille,Rennes,2,0,1.0
2016-2017,Ligue 1,26,2017-02-18,Angers,Nancy,1,0,1.0
2016-2017,Ligue 1,26,2017-02-18,Lorient,Nice,0,1,0.0
2016-2017,Ligue 1,26,2017-02-18,Metz,Nantes,1,1,0.5
2016-2017,Ligue 1,26,2017-02-18,Caen,Lille,0,1,0.0
2016-2017,Ligue 1,26,2017-02-19,Bordeaux,Guingamp,3,0,1.0
2016-2017,Ligue 1,26,2017-02-19,Lyon,Dijon,4,2,1.0
2016-2017,Ligue 1,26,2017-02-19,Montpellier,Saint-Étienne,2,1,1.0
2016-2017,Ligue 1,26,2017-02-19,Paris S-G,Toulouse,0,0,0.5
2016-2017,Ligue 1,21,2017-02-21,Caen,Nancy,1,0,1.0
2016-2017,Ligue 1,27,2017-02-24,Nantes,Dijon,3,1,1.0
2016-2017,Ligue 1,27,2017-02-24,Nice,Montpellier,2,1,1.0
2016-2017,Ligue 1,27,2017-02-25,Guingamp,Monaco,1,2,0.0
2016-2017,Ligue 1,27,2017-02-25,Rennes,Lorient,1,0,1.0
2016-2017,Ligue 1,27,2017-02-25,Angers,Bastia,3,0,1.0
2016-2017,Ligue 1,27,2017-02-25,Lille,Bordeaux,2,3,0.0
2016-2017,Ligue 1,27,2017-02-25,Nancy,Toulouse,0,0,0.5
2016-2017,Ligue 1,27,2017-02-26,Saint-Étienne,Caen,0,1,0.0
2016-2017,Ligue 1,27,2017-02-26,Lyon,Metz,5,0,1.0
2016-2017,Ligue 1,27,2017-02-26,Marseille,Paris S-G,1,5,0.0
2016-2017,Ligue 1,24,2017-03-01,Bastia,Nantes,2,2,0.5
2016-2017,Ligue 1,28,2017-03-03,Bordeaux,Lyon,1,1,0.5
2016-2017,Ligue 1,28,2017-03-04,Paris S-G,Nancy,1,0,1.0
2016-2017,Ligue 1,28,2017-03-04,Montpellier,Guingamp,1,1,0.5
2016-2017,Ligue 1,28,2017-03-04,Caen,Angers,2,3,0.0
2016-2017,Ligue 1,28,2017-03-04,Dijon,Nice,0,1,0.0
2016-2017,Ligue 1,28,2017-03-04,Metz,Rennes,1,1,0.5
2016-2017,Ligue 1,28,2017-03-04,Bastia,Saint-Étienne,0,0,0.5
2016-2017,Ligue 1,28,2017-03-05,Lorient,Marseille,1,4,0.0
2016-2017,Ligue 1,28,2017-03-05,Toulouse,Lille,1,1,0.5
2016-2017,Ligue 1,28,2017-03-05,Monaco,Nantes,4,0,1.0
2016-2017,Ligue 1,29,2017-03-10,Nice,Caen,2,2,0.5
2016-2017,Ligue 1,29,2017-03-10,Marseille,Angers,3,0,1.0
2016-2017,Ligue 1,29,2017-03-11,Monaco,Bordeaux,2,1,1.0
2016-2017,Ligue 1,29,2017-03-11,Nancy,Lille,1,2,0.0
2016-2017,Ligue 1,29,2017-03-11,Montpellier,Nantes,2,3,0.0
2016-2017,Ligue 1,29,2017-03-11,Rennes,Dijon,1,1,0.5
2016-2017,Ligue 1,29,2017-03-11,Guingamp,Bastia,5,0,1.0
2016-2017,Ligue 1,29,2017-03-12,Saint-Étienne,Metz,2,2,0.5
2016-2017,Ligue 1,29,2017-03-12,Lyon,Toulouse,4,0,1.0
2016-2017,Ligue 1,29,2017-03-12,Lorient,Paris S-G,1,2,0.0
2016-2017,Ligue 1,30,2017-03-17,Metz,Bastia,1,0,1.0
2016-2017,Ligue 1,30,2017-03-17,Lille,Marseille,0,0,0.5
2016-2017,Ligue 1,30,2017-03-18,Nantes,Nice,1,1,0.5
2016-2017,Ligue 1,30,2017-03-18,Angers,Guingamp,3,0,1.0
2016-2017,Ligue 1,30,2017-03-18,Bordeaux,Montpellier,5,1,1.0
2016-2017,Ligue 1,30,2017-03-18,Toulouse,Rennes,0,0,0.5
2016-2017,Ligue 1,30,2017-03-18,Nancy,Lorient,2,3,0.0
2016-2017,Ligue 1,30,2017-03-19,Caen,Monaco,0,3,0.0
2016-2017,Ligue 1,30,2017-03-19,Dijon,Saint-Étienne,0,1,0.0
2016-2017,Ligue 1,30,2017-03-19,Paris S-G,Lyon,2,1,1.0
2016-2017,Ligue 1,31,2017-03-31,Guingamp,Nancy,1,0,1.0
2016-2017,Ligue 1,31,2017-04-01,Marseille,Dijon,1,1,0.5
2016-2017,Ligue 1,31,2017-04-01,Bastia,Lille,0,1,0.0
2016-2017,Ligue 1,31,2017-04-02,Rennes,Lyon,1,1,0.5
2016-2017,Ligue 1,31,2017-04-02,Lorient,Caen,1,0,1.0
2016-2017,Ligue 1,31,2017-04-02,Nantes,Angers,2,1,1.0
2016-2017,Ligue 1,31,2017-04-02,Montpellier,Toulouse,0,1,0.0
2016-2017,Ligue 1,31,2017-04-02,Nice,Bordeaux,2,1,1.0
2016-2017,Ligue 1,16,2017-04-05,Metz,Lyon,0,3,0.0
2016-2017,Ligue 1,32,2017-04-07,Lille,Nice,1,2,0.0
2016-2017,Ligue 1,32,2017-04-08,Angers,Monaco,0,1,0.0
2016-2017,Ligue 1,32,2017-04-08,Bordeaux,Metz,3,0,1.0
2016-2017,Ligue 1,32,2017-04-08,Caen,Montpellier,0,2,0.0
2016-2017,Ligue 1,32,2017-04-08,Dijon,Bastia,1,2,0.0
2016-2017,Ligue 1,32,2017-04-08,Lyon,Lorient,1,4,0.0
2016-2017,Ligue 1,32,2017-04-08,Nancy,Rennes,3,0,1.0
2016-2017,Ligue 1,32,2017-04-09,Toulouse,Marseille,0,0,0.5
2016-2017,Ligue 1,32,2017-04-09,Saint-Étienne,Nantes,1,1,0.5
2016-2017,Ligue 1,32,2017-04-09,Paris S-G,Guingamp,4,0,1.0
2016-2017,Ligue 1,33,2017-04-14,Angers,Paris S-G,0,2,0.0
2016-2017,Ligue 1,33,2017-04-15,Nice,Nancy,3,1,1.0
2016-2017,Ligue 1,33,2017-04-15,Rennes,Lille,2,0,1.0
2016-2017,Ligue 1,33,2017-04-15,Metz,Caen,2,2,0.5
2016-2017,Ligue 1,33,2017-04-15,Montpellier,Lorient,2,0,1.0
2016-2017,Ligue 1,33,2017-04-15,Guingamp,Toulouse,2,1,1.0
2016-2017,Ligue 1,33,2017-04-15,Monaco,Dijon,2,1,1.0
