Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Relegation round,8,2020-07-11,SK Dnipro-1,FC Lviv,3.0,2.0,1.0
2019-2020,Relegation round,8,2020-07-12,FC Mariupol,Olimpik Donetsk,1.0,4.0,0.0
2019-2020,Relegation round,8,2020-07-12,Karpaty Lviv,Vorskla Poltava,,,
2019-2020,Championship round,8,2020-07-12,FC Oleksandriya,Dynamo Kyiv,2.0,2.0,0.5
2019-2020,Championship round,8,2020-07-12,Desna Chernihiv,Shakhtar,2.0,4.0,0.0
2019-2020,Relegation round,9,2020-07-15,Karpaty Lviv,SK Dnipro-1,,,
2019-2020,Championship round,9,2020-07-15,Shakhtar,FK Kolos,2.0,0.0,1.0
2019-2020,Relegation round,9,2020-07-16,Vorskla Poltava,FC Mariupol,1.0,2.0,0.0
2019-2020,Relegation round,9,2020-07-16,FC Lviv,Olimpik Donetsk,1.0,5.0,0.0
2019-2020,Championship round,9,2020-07-16,Desna Chernihiv,FC Oleksandriya,1.0,3.0,0.0
2019-2020,Championship round,9,2020-07-16,Dynamo Kyiv,Zorya Luhansk,3.0,1.0,1.0
2019-2020,Relegation round,10,2020-07-19,Olimpik Donetsk,Karpaty Lviv,,,
2019-2020,Relegation round,10,2020-07-19,SK Dnipro-1,Vorskla Poltava,3.0,0.0,1.0
2019-2020,Relegation round,10,2020-07-19,FC Lviv,FC Mariupol,0.0,2.0,0.0
2019-2020,Championship round,10,2020-07-19,Zorya Luhansk,Desna Chernihiv,1.0,1.0,0.5
2019-2020,Championship round,10,2020-07-19,FC Oleksandriya,Shakhtar,2.0,2.0,0.5
2019-2020,Championship round,10,2020-07-19,FK Kolos,Dynamo Kyiv,2.0,0.0,1.0
2019-2020,Semi-finals,,2020-07-25,FK Kolos,SK Dnipro-1,4.0,1.0,1.0
2019-2020,Semi-finals,,2020-07-25,FC Oleksandriya,FC Mariupol,1.0,2.0,0.0
2019-2020,Final,,2020-07-29,FK Kolos,FC Mariupol,1.0,0.0,1.0
